filepath,true_class_id,true_class,pred_class_id,pred_class,confidence,is_correct
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_1281.jpeg,0,Aceh_Pintu_Aceh,2,batik-bali,0.37080443,False
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_1433.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.9239806,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_1746.jpeg,0,Aceh_Pintu_Aceh,12,batik-lasem,0.55792385,False
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_1849.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.8070163,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_1994.jpeg,0,Aceh_Pintu_Aceh,3,batik-betawi,0.43304107,False
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_2003.jpeg,0,Aceh_Pintu_Aceh,28,NTB_Lumbung,0.28218403,False
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_203.jpeg,0,Aceh_Pintu_Aceh,17,batik-sekar,0.3786586,False
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_2846.jpeg,0,Aceh_Pintu_Aceh,2,batik-bali,0.4606863,False
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_3910.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.84237635,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_4246.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.8765128,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_4278.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.14727421,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_4537.jpeg,0,Aceh_Pintu_Aceh,3,batik-betawi,0.34930456,False
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_4684.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.6181774,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_4721.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.44126898,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_4871.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.8764145,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_5156.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.89211226,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_5217.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.25950795,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_5540.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.44203952,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_659.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.3681406,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_6830.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.9777135,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_7021.jpeg,0,Aceh_Pintu_Aceh,12,batik-lasem,0.34753412,False
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_7065.jpeg,0,Aceh_Pintu_Aceh,6,batik-ceplok,0.20920163,False
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_7092.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.4918071,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_7206.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.6117439,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_7596.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.5878961,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_7712.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.9669775,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_7786.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.22832873,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_8194.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.71821505,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_8243.jpeg,0,Aceh_Pintu_Aceh,9,batik-gentongan,0.3063261,False
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_8378.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.2262333,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_873.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.8535986,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_8810.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.41330582,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_9085.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.60121167,True
C:\Users\dzaki\OneDrive\Dokumen\Bahasa Pemograman\Python\Batik\datasets\raw\dataset_augmented\Aceh_Pintu_Aceh\aug_0_9160.jpeg,0,Aceh_Pintu_Aceh,0,Aceh_Pintu_Aceh,0.8960418,True
